(''Kentucky'',26514,16,338,1823976,1119,23319,12312,10,0,0,0,147,0,12,NULL,NULL,NULL,7048,0,6407337,1273,0,271052,0,0,484658,61,4255,"0),"
(''Louisiana'',55669,32,674,4114605,2394,49876,14368,11,0,0,0,934,0,81,1200698,340,68122,14016,1,12741856,857,0,182404,0,0,484271,61,2423,"0),"
(''Maine'',3216,1,40,1100327,658,13722,2443,2,0,0,0,28742,11,2250,631960,147,29483,4273,0,3884583,124,0,26542,0,0,377075,47,3916,"0),"
(''Maryland'',28551,18,378,585949,373,7772,14849,12,0,0,0,3631,1,296,200852,51,10381,2102,0,1911045,1226,0,260965,0,0,86649,10,814,"0),"
(''Massachusetts'',17469,10,228,82204,51,1074,11722,10,0,0,0,2827,1,205,799344,184,36815,1045,0,950308,1103,0,234811,0,0,92227,11,1196,"0),"
(''Michigan'',50845,33,699,5215639,3443,71740,23527,21,0,0,0,143907,59,11808,1739800,422,84515,9358,1,8507307,2539,0,540282,0,0,457850,58,1180,"0),"
(''Minnesota'',33370,20,419,10792814,6510,135627,14321,12,0,0,0,1428524,489,97854,100454,29,5842,20361,2,18510689,1029,0,219074,0,0,369784,46,1254,"0),"
(''Mississippi'',26366,15,317,4981252,2879,59996,8614,6,0,0,0,0,0,0,10172,3,642,14209,1,12918114,1076,0,229076,0,0,559056,70,2211,"0),"
(''Missouri'',30549,18,376,5335268,3156,65766,16159,13,0,0,0,689519,274,54871,NULL,NULL,NULL,11837,1,10761509,2147,0,456990,0,0,835444,105,7198,"1),"
(''Montana'',11370,6,127,8187341,4402,91724,2194,1,1540287,557,16939,2746271,944,188800,NULL,NULL,NULL,4924,0,4477082,147,0,31324,6547,0,1647303,208,14546,"3),"
(''Nebraska'',12954,6,141,9266756,4869,101456,5336,4,4846929,1753,53304,3011252,917,183599,NULL,NULL,NULL,16271,2,14792723,750,0,159729,0,0,927996,117,3142,"0),"
(''Nevada'',24893,10,224,8614454,3732,77751,10767,7,8295752,2557,77759,17709,7,1449,NULL,NULL,NULL,288,0,262613,325,0,69248,45320,5,1262174,160,845,"0),"
(''New Hampshire'',3790,2,48,57363,35,741,2298,2,0,0,0,5706,2,427,14477,3,691,953,0,867153,389,0,82889,0,0,104314,13,1740,"0),"
(''New Jersey'',44307,25,527,439773,251,5231,15767,13,0,0,0,317,0,26,429807,101,20386,1212,0,1101910,2310,0,491691,0,0,35230,4,549,"0),"
(''New Mexico'',71356,30,645,16318543,7087,147652,6513,4,16812349,4860,147747,1399156,492,98416,NULL,NULL,NULL,595,0,541274,353,0,75228,12933,1,1417978,179,1362,"0),"
(''New York'',52803,32,682,1492566,926,19294,28779,25,0,0,0,63565,25,5156,614279,146,29215,5558,0,5053081,2950,0,627734,0,0,375400,47,6711,"1),"
(''North Carolina'',68346,37,789,4232789,2346,48892,28419,23,0,0,0,2037,0,161,1269626,306,61204,12869,1,11699887,3780,0,804301,0,0,420741,53,3036,"0),"
(''North Dakota'',4871,2,57,9734447,5482,114227,1916,1,36049,13,396,2537824,770,154039,NULL,NULL,NULL,8186,1,7441887,30,0,6383,0,0,820226,104,347,"0),"
(''Ohio'',86495,57,1190,3626181,2395,49908,30064,27,0,0,0,129142,54,10983,170561,41,8360,11009,1,10008282,3363,0,715603,0,0,495921,62,3045,"0),"
(''Oklahoma'',50040,25,533,9341920,4782,99640,12442,9,5068036,1812,55113,1521651,516,103364,NULL,NULL,NULL,4128,0,3753137,965,0,205359,0,0,779667,98,3015,"0),"
(''Oregon'',25783,12,270,3740478,1884,39266,8322,7,2812126,1017,30926,68766,27,5420,962722,225,45001,13793,1,12539176,890,0,189571,18199,2,914105,115,18184,"4),"
(''Pennsylvania'',56161,36,754,553356,356,7429,22215,19,0,0,0,8230,3,661,23571,5,1134,6313,0,5739609,7132,0,1517540,0,0,327340,41,8368,"1),"
(''Rhode Island'',1787,1,24,13636,8,184,1710,1,0,0,0,129,0,9,89114,20,4193,143,0,130452,474,0,100888,0,0,11491,1,59,"0),"
(''South Carolina'',33834,19,397,2754973,1555,32398,14412,11,0,0,0,427,0,37,542218,133,26643,6984,0,6349820,1430,0,304312,0,0,364104,46,1888,"0),"
(''South Dakota'',4573,2,50,10008873,5344,111350,2082,1,1629659,589,17922,2901858,882,176482,NULL,NULL,NULL,8380,1,7618309,235,0,50072,0,0,921972,116,1047,"0),"
(''Tennessee'',50243,28,595,2225989,1266,26395,19685,16,0,0,0,765,0,61,NULL,NULL,NULL,6095,0,5541359,1984,0,422220,0,0,428380,54,5744,"1),"
(''Texas'',294684,154,3213,38993581,20411,425230,78716,60,22786749,7743,235398,5552399,1901,380305,1101062,271,54288,16077,2,14615951,5898,0,1254999,0,0,3030250,384,3006,"0),"
(''Utah'',30492,14,292,5184878,2390,49797,7513,5,5067546,1638,49799,31552,13,2620,NULL,NULL,NULL,433,0,394530,427,0,91018,12981,1,939380,119,3528,"0),"
(''Vermont'',1632,1,22,54727,35,739,1115,1,0,0,0,7795,2,589,NULL,NULL,NULL,491,0,447268,203,0,43248,0,0,35616,4,1710,"0),"
(''Virginia'',27451,15,326,1882467,1074,22377,22266,18,0,0,0,4589,1,358,361053,89,17814,7866,0,7151120,2498,0,531592,0,0,290736,36,3656,"0),"
(''Washington'',33690,19,402,1738150,996,20758,13599,13,161713,58,1778,47249,18,3695,488025,120,24192,12311,1,11192456,1514,0,322155,2546,0,563023,71,27248,"6),"
(''West Virginia'',3023,2,41,52693,35,729,4220,3,0,0,0,4951,1,376,NULL,NULL,NULL,2406,0,2188057,281,0,59811,0,0,261376,33,4408,"1),"
(''Wisconsin'',54938,34,727,5042258,3205,66788,13939,12,0,0,0,255266,103,20751,317754,80,16134,11221,1,10201440,2072,0,441053,0,0,647173,82,2286,"1),"
